id,time,changetime,reporter,summary,status,owner,type,component
4432,2007-05-30 06:21:21,2007-06-09 20:31:27,mrmachine,get_sql_sequence_reset doesn't work on tables that have no records.,closed,adrian,,"Database layer (models, ORM)"
4433,2007-05-30 08:06:55,2007-07-12 01:06:50,Krzysztof Sitarski <sit0@…>,typo in django/db/models/fields/__init__.py,closed,adrian,,"Database layer (models, ORM)"
4434,2007-05-30 08:34:12,2007-05-30 08:46:36,ondrej@…,The tutorial is not begginner friendly.,closed,jacob,,Documentation
4435,2007-05-30 09:10:18,2007-06-01 00:30:41,mir@…,[unicode] get_FIELD_display() does not work for None values,closed,mtredinnick,,"Database layer (models, ORM)"
4436,2007-05-30 10:01:12,2007-09-16 12:38:51,Uz,./manage.py overwrites DJANGO_SETTINGS_MODULE EnvVar,closed,nobody,,Core (Management commands)
4437,2007-05-30 12:27:33,2007-09-15 11:52:29,Paul Bx <pb@…>,Apache auth recipe does not work in Apache 2.2,closed,nobody,,Documentation
4438,2007-05-30 14:11:46,2008-11-19 15:22:59,Max Battcher <me@…>,Middleware for contrib.sites to get the site matching the current host name,closed,adrian,,Contrib apps
4439,2007-05-30 20:15:53,2007-05-30 21:30:40,hayley <djangocode@…>,"typo on testing docs ""given your modules""",closed,jacob,,Documentation
4440,2007-05-30 21:56:25,2007-05-31 11:55:16,pradeep.gowda@…,[oracle] Error when creating a new record using Admin interface,closed,adrian,,contrib.admin
4441,2007-05-30 23:06:13,2007-05-31 08:32:37,(removed),minor regroup optimization,closed,adrian,,Template system
4442,2007-05-31 02:41:03,2007-05-31 02:57:56,Esaj,[unicode] Error when going to add page in admin,closed,adrian,,contrib.admin
4443,2007-05-31 05:43:52,2007-05-31 18:02:33,knutin@…,Django should support Norwegian Bokmål and Norwegian Nynorsk,closed,mtredinnick,,Translations
4444,2007-05-31 08:38:40,2012-07-09 11:59:13,vanderkerkoff,broken pipe issue,closed,nobody,Uncategorized,django-admin.py runserver
4445,2007-05-31 11:32:11,2007-05-31 18:44:48,Bryan Chow <bryan at verdjn dot com>,DecimalField does not work in Python 2.3 due to bad import,closed,adrian,,Core (Other)
4446,2007-05-31 14:45:07,2007-09-16 12:52:22,shwag < >,spaceless fails under specific condition of subtemplate,closed,nobody,,Template system
4447,2007-05-31 22:31:40,2007-06-01 00:30:41,hidded <me@…>,[unicode] Admin crash when draw list of objects if field return None,closed,adrian,,contrib.admin
4448,2007-05-31 23:13:59,2007-09-14 14:04:45,anonymous,OpenCalendar should get its current value from the date field it edits,closed,anonymous,,contrib.admin
4449,2007-05-31 23:55:00,2007-06-01 00:07:51,anonymous,NoReverseMatch in your tutorial example,closed,jacob,,Documentation
4450,2007-06-01 01:35:38,2007-08-24 06:16:01,Glin,[newforms-admin] Change password form in edit form for user causes ProgrammingError,closed,adrian,,contrib.admin
4451,2007-06-01 04:57:33,2007-07-07 06:33:15,glin@…,[newforms-admin] UnicodeDecodeError at getext string in widgets,closed,adrian,,contrib.admin
4452,2007-06-01 05:34:13,2011-10-09 05:44:57,aribao@…,Unicode error in the syndication system,closed,adrian,,contrib.syndication
4453,2007-06-01 07:58:25,2007-06-24 21:34:34,forest@…,"url pattern name can contain dots, but reverse('pattern.name.with.dots') will always fail",closed,jacob,,Uncategorized
4454,2007-06-01 07:58:42,2007-06-01 10:36:59,gnou@…,Tuorial code error ?,closed,jacob,,Documentation
4455,2007-06-01 08:21:04,2007-06-02 01:00:12,jordi.bofill@…,MEDIA_ROOT_URL does not exist,closed,jacob,,Documentation
4456,2007-06-01 12:16:44,2007-08-15 02:33:15,anonymous,hacked,closed,jacob,,Documentation
4457,2007-06-01 15:10:03,2007-08-28 22:00:55,Chris Wagner <cw264701@…>,"Using a custom test suite, django.test.TestCase-based tests either fail silently (DEBUG = True) or fail with a generic error message (DEBUG = False)",closed,russellm,,Testing framework
4458,2007-06-01 17:58:56,2007-06-01 18:39:45,anonymous,wep,closed,jacob,,Uncategorized
4459,2007-06-01 18:36:02,2011-10-09 05:44:57,russellm,loaddata failure if model has overridden save() method,closed,russellm,,Core (Serialization)
4460,2007-06-01 21:37:32,2007-08-07 06:43:50,(removed),runtests.py can't easily control which tests to run,closed,adrian,,Testing framework
4461,2007-06-02 05:20:15,2007-06-02 05:29:27,(removed),minor ForNode.render reversed optimization,closed,adrian,,Template system
4462,2007-06-02 05:23:51,2007-06-09 20:11:11,(removed),minor ForNode.render reversed optimization,closed,adrian,,Template system
4463,2007-06-02 07:56:48,2007-06-02 20:46:08,hidded <me@…>,Admin crashed if None returned by __unicode__ and list_display not defined,closed,adrian,,contrib.admin
4464,2007-06-02 10:47:28,2008-04-26 19:50:16,ml_django25@…,Chaining filters on ManyToManyFields broken?,closed,nobody,,"Database layer (models, ORM)"
4465,2007-06-02 16:49:50,2009-08-20 06:10:15,MockSoul,Invalid sql string formatting (TypeError) if sql contains '%' signs in /django/db/backends/util.py,closed,adrian,,"Database layer (models, ORM)"
4466,2007-06-03 06:19:49,2007-06-03 12:06:34,cyril@…,"Writing your first Django app, part2: you should tell the reader to restart the server",closed,jacob,,Documentation
4467,2007-06-03 07:33:24,2012-12-16 07:13:19,ulda,handle a huge list of ForeignKey objects by implementing a CategorizedModelChoiceField,closed,nobody,New feature,Forms
4468,2007-06-03 07:41:19,2007-07-12 01:22:46,A. Murat Eren <meren@…>,More information in field length validation error (oldforms),closed,adrian,,Validators
4469,2007-06-03 07:47:13,2011-10-09 05:44:57,A. Murat Eren <meren@…>,More information in field length validation error (newforms),closed,adrian,,Forms
4470,2007-06-03 11:18:41,2011-10-09 05:44:57,Sidi Mohamed EL AATIFI <elaatifi@…>,Separate models.py in multiple files,closed,nobody,,"Database layer (models, ORM)"
4471,2007-06-03 14:01:22,2013-03-16 09:27:27,zigiDev@…,Newforms errors.as_text probably shouldn't prefix the string with an '*' character,closed,nobody,Uncategorized,Forms
4472,2007-06-04 00:36:34,2007-06-04 00:48:51,sacre@…,[unicode] Cannot coerce AnonymousUser to unicode,closed,mtredinnick,,Contrib apps
4473,2007-06-04 10:27:18,2007-06-11 04:49:25,heckj@…,[PATCH] Update to newforms docs to include custom validation information,closed,jacob,,Documentation
4474,2007-06-04 17:22:08,2007-08-17 12:12:16,Brad McGonigle <brad@…>,Add 'else' support for 'ifchanged',closed,adrian,,Template system
4475,2007-06-04 17:23:37,2007-06-09 20:06:35,ian.g.kelly@…,typo in serializers_regress tests means that fieldsTest is run twice and streamTest not at all.,closed,adrian,,Testing framework
4476,2007-06-04 18:52:47,2009-02-27 05:14:59,Chris Moffitt <chris.moffitt@…>,Modify test client to follow redirect chains,closed,telenieko,,Testing framework
4477,2007-06-05 03:16:52,2007-06-07 15:12:58,Honza Král <Honza.Kral@…>,[newforms-admin] Models on index.html aren't grouped by app_label,closed,adrian,,contrib.admin
4478,2007-06-05 05:11:40,2007-09-11 06:13:35,pchilds@…,[patch] PIL Bug Causes Django 0.96 Image Validator to Break if OLE Document Uploaded,closed,nobody,,Validators
4479,2007-06-05 12:55:15,2007-06-09 07:30:25,Jure Cuhalev <gandalf@…>,[unicode] isValidFloat is using gettext in unicode-branch,closed,mtredinnick,,Validators
4480,2007-06-05 14:46:01,2007-09-14 11:05:31,rogerdpack,booleanfield newforms marked as editable=false must be set to true by the end user,closed,nobody,,Forms
4481,2007-06-05 15:20:29,2011-09-21 22:13:05,anonymous,Databrowse should use pagination,closed,nobody,Cleanup/optimization,contrib.databrowse
4482,2007-06-05 15:21:54,2007-07-11 23:02:16,keegan.csmith@…,feeds depend on django.contrib.sites,closed,adrian,,contrib.syndication
4483,2007-06-05 17:08:13,2007-06-05 22:31:50,anonymous,request/response docs don't mention that request.has_key() is deprecated,closed,jacob,,Documentation
4484,2007-06-05 17:51:53,2011-10-09 05:44:57,VesselinK,traceback in django/middleware/common.py caused by empty old_url,closed,jacob,,Uncategorized
4485,2007-06-05 18:24:51,2008-06-30 04:39:17,sime <simon@…>,Can't set nullable DecimalField to null,closed,gav,,"Database layer (models, ORM)"
4486,2007-06-05 19:16:51,2007-07-16 05:27:13,anonymous,Newforms DecimalField formats initial data improperly,closed,adrian,,Forms
4487,2007-06-06 00:04:27,2007-10-21 07:50:47,yi.codeplayer at gmail dot com,SplitDateTimeWidget should not show microsecond.,closed,mtredinnick,,Forms
4488,2007-06-06 03:50:54,2007-06-09 19:13:58,luca.ferroni@…,"default permission documentation says ""add, create, delete"" - should be ""add, change, delete""",closed,jacob,,Documentation
4489,2007-06-06 06:41:30,2007-06-09 18:47:03,Alper Çugun,slight mistrans on timesince.py in nl translation,closed,mtredinnick,,Translations
4490,2007-06-06 07:18:07,2007-08-30 20:35:56,James Punteney <punteney@…>,edit_inline breaks when referencing the foreign key model twice,closed,adrian,,contrib.admin
4491,2007-06-06 09:15:29,2007-09-09 12:15:02,Honza Král <Honza.Kral@…>,[newforms-admin] addAnother link does not work,closed,jkocherhans,,contrib.admin
4492,2007-06-06 13:31:17,2011-04-01 11:07:48,John Shaffer <jshaffer2112@…>,Provide tests for mixed-case column names,new,nobody,Cleanup/optimization,"Database layer (models, ORM)"
4493,2007-06-06 13:47:19,2007-10-21 05:13:52,marchino <marco.giusti@…>,[unicode] django.contrib.redirects doesn't work with unicode branch,closed,mtredinnick,,Uncategorized
4494,2007-06-06 13:52:04,2007-06-07 16:51:48,colin@…,Fixtures fail for UTF-8 encoded data,closed,adrian,,Tools
4495,2007-06-06 14:17:25,2007-06-09 07:34:14,Ivan Sagalaev <Maniac@…>,[unicode] {% firstof %} uses str(),closed,mtredinnick,,Template system
4496,2007-06-06 16:12:17,2007-06-07 10:46:55,hattawayd@…,parenthesis -> percent signs,closed,jacob,,Documentation
4497,2007-06-06 17:27:42,2007-06-07 17:47:27,buriy <burchik@…>,"Bug if form_url is empty (i.e. creating new user), and TEMPLATE_STRING_IF_INVALID is set",closed,adrian,,contrib.admin
4498,2007-06-06 20:53:30,2010-04-23 11:52:21,sciyoshi@…,File upload ignores Content-Transfer-Encoding,closed,nobody,,Core (Other)
4499,2007-06-07 01:45:28,2012-04-30 05:37:32,sandro@…,integrity error silently failing with postgres and loaddata,closed,nobody,Bug,"Database layer (models, ORM)"
4500,2007-06-07 04:18:25,2007-06-20 21:29:06,anonymous,Tutorial: What about the HttpResponseRedirect?,closed,jacob,,Documentation
4501,2007-06-07 11:40:20,2012-10-10 17:07:43,bugs@…,Coverage support for tests,closed,krzysiumed,New feature,Documentation
4502,2007-06-07 12:02:11,2011-10-09 05:44:57,Carl Karsten <carl@…>,"Tutorial 3, small change",closed,jacob,,Documentation
4503,2007-06-07 13:38:07,2007-06-07 14:07:28,stp2007,Small document update needed.,closed,jacob,,Documentation
4504,2007-06-07 14:07:15,2007-06-11 09:47:14,justinlilly@…,Improper documentation regarding date filter,closed,jacob,,Documentation
4505,2007-06-07 15:10:21,2007-06-07 17:20:08,Guilherme M. Gondim (semente) <semente@…>,Docs should mention that time zones on the pgSQL timezone table are space separated,closed,adrian,,Documentation
4506,2007-06-08 01:36:31,2007-06-24 05:38:11,(removed),regroup should rely on __eq__ instead of repr,closed,adrian,,Template system
4507,2007-06-08 05:52:10,2009-03-31 15:26:19,Stas Shtin <antisvin@…>,Adding form save hooks to newforms admin,closed,nobody,,contrib.admin
4508,2007-06-08 07:37:24,2007-06-08 07:46:41,anonymous,wed,closed,jacob,,Documentation
4509,2007-06-08 10:30:23,2011-06-13 14:07:46,jfindlay@…,Allow prepopulated_fields for non-slug fields,closed,adrian,Uncategorized,contrib.admin
4510,2007-06-08 10:58:58,2008-04-26 19:50:16,Steven Wagner <stevenwagner@…>,Reverse relationship ignores to_field,closed,nobody,,"Database layer (models, ORM)"
4511,2007-06-08 11:00:12,2007-06-08 21:27:52,gustavo@…,"Missing useful ID attribute in <p>, <li> and <tr> of auto generated form from as_p, as_ul and as_table.",closed,adrian,,Forms
4512,2007-06-08 11:05:07,2007-06-10 22:50:02,gustavo@…,"<ul class=""errorlist""> must be inside <p> on forms generated by as_p()",closed,adrian,,Forms
4513,2007-06-08 15:41:09,2007-06-08 22:59:06,bugs@…,Provide a way to start development server from within in non-blocking mode,closed,adrian,,Core (Other)
4514,2007-06-08 15:59:38,2007-09-14 14:30:16,netburn@…,0.97-pre raises error with DateTime when the field is set to UNIQUE,closed,nobody,,Uncategorized
4515,2007-06-08 17:11:52,2007-10-17 15:07:10,Chris Wagner <cw264701@…>,"django.views.static.serve() redirects (HTTP code 302) to the wrong location when the path to the static file is ""normalized""",closed,nobody,,Uncategorized
4516,2007-06-08 20:43:14,2008-08-09 17:51:23,Marty Alchin <gulopine@…>,newforms-admin: Move AdminModel's URL handling into a method,closed,nobody,,contrib.admin
4517,2007-06-09 07:34:46,2007-06-09 19:00:47,James Wheare <django@…>,[patch] Incorrect URL_VALIDATOR_USER_AGENT due to DRY violation,closed,adrian,,Metasystem
4518,2007-06-09 09:47:31,2007-06-09 18:52:57,Richard House <Richard.House@…>,"Null string in DecimalField results in error: decimal.py  _raise_error, line 2267",closed,adrian,,Core (Other)
4519,2007-06-09 17:46:37,2007-09-15 06:58:19,todd.kennedy@…,Cannot use form_from_instance with a ManyToMany field,closed,msaelices,,Forms
4520,2007-06-10 03:30:45,2007-06-11 05:57:22,Henrik Lied,Allow Django to use event based caching,closed,jacob,,Core (Cache system)
4521,2007-06-10 05:51:46,2007-06-14 17:05:36,(removed),signals should have __(str|repr)__ for debugging/maintenance.,closed,adrian,,Core (Other)
4522,2007-06-10 06:04:00,2011-10-09 05:44:57,admackin@…,limitations of 'time' filter should be clarified,closed,jacob,,Documentation
4523,2007-06-10 07:20:10,2007-06-16 18:31:12,(removed),NodeList.render cleanup,closed,adrian,,Template system
4524,2007-06-10 11:52:40,2007-10-17 09:00:39,dottedmag@…,'Delete' action is broken in newforms-admin,closed,adrian,,contrib.admin
4525,2007-06-10 12:22:48,2011-10-09 05:44:57,Johan Bergström <bugs@…>,Small error in FastCGI documentation,closed,jacob,,Documentation
4526,2007-06-10 14:12:27,2011-10-09 05:44:57,marcin@…,test.Client.login does not check is_active,closed,adrian,,Testing framework
4527,2007-06-10 22:25:11,2007-06-22 23:19:26,SmileyChris,Form.as_p produces invalid XHTML for rows with errors,closed,adrian,,Forms
4528,2007-06-11 01:54:18,2012-01-18 13:06:03,Johan Bergström <bugs@…>,Add DATABASE_PRE_SYNCDB to settings,closed,,New feature,Core (Management commands)
4529,2007-06-11 02:41:03,2009-12-16 19:44:54,Noam Raphael <spam.noam@…>,Allow multiple blocks with the same name in one template,closed,nobody,,Template system
4530,2007-06-11 05:25:42,2007-06-11 05:39:05,marcin@…,doctests don't play well with i18n: they override the value of _ builtin,closed,adrian,,Testing framework
4531,2007-06-11 05:47:16,2007-06-14 17:22:17,Frank Tegtmeyer <fte@…>,SessionId collision - session takeover by accident,closed,adrian,,Contrib apps
4532,2007-06-11 08:22:50,2007-06-11 17:31:56,philliptemple@…,Simply 2 letter typo on select-related example,closed,jacob,,Documentation
4533,2007-06-11 09:00:27,2007-06-11 10:19:01,CarlFK,install page - db support,closed,jacob,,Documentation
4534,2007-06-11 09:35:51,2008-07-26 15:09:43,Bill Fenner <fenner@…>,ifchanged could use an else tag,closed,nobody,,Template system
4535,2007-06-11 09:48:29,2007-09-14 07:56:59,rohan@…,I18n in templates - multiline messages,closed,nobody,,Internationalization
4536,2007-06-11 10:08:34,2007-09-13 23:13:15,Carl Karsten <carl@…>,trac error,closed,nobody,,*.djangoproject.com
4537,2007-06-11 10:09:16,2007-06-19 23:23:16,Carl Karsten <carl@…>,use get_python_lib to find site-packages,closed,jacob,,*.djangoproject.com
4538,2007-06-11 10:43:05,2011-10-09 05:44:57,Carl Karsten <carl@…>,"""Installing the official version""  should be broken into 2 parts",closed,jacob,,Documentation
4539,2007-06-11 13:27:35,2008-03-17 07:55:31,permonik@…,translation.ugettext loses variable content from blocktrans,closed,permon,,Internationalization
4540,2007-06-11 19:20:07,2011-05-19 20:13:46,cephelo@…,Template.render() should verify context instance,closed,munhitsu,Cleanup/optimization,Template system
4541,2007-06-11 20:43:35,2007-07-14 02:49:35,Favo <favo@…>,gettext_lazy doesn't work with __cmp__,closed,adrian,,Tools
4542,2007-06-11 21:54:48,2007-09-14 12:28:27,nick.lane.au@…,generic localflavor date field,closed,nobody,,contrib.localflavor
4543,2007-06-11 21:55:50,2007-06-12 13:55:19,jdunck,django-admin.py startapp and startproject should help newbies avoid module name clash,closed,adrian,,Core (Management commands)
4544,2007-06-12 02:29:38,2007-09-14 01:29:52,marcuzero@…,"list_filter can accept ""choices""",closed,nobody,,Documentation
4545,2007-06-12 07:32:42,2007-06-16 17:54:38,hidded <me@…>,[unicode] Admin crashed if delete object with unicode-contained primary key,closed,adrian,,contrib.admin
4546,2007-06-12 09:02:12,2007-10-26 23:11:02,glin@…,utils.datastructures.SortDict don't work after pop or popitem method called,closed,nobody,,Core (Other)
4547,2007-06-12 11:37:34,2007-06-14 17:07:03,Grant Kelly <gkelly@…>,Small typos in newforms doc,closed,jacob,,Documentation
4548,2007-06-12 12:35:39,2012-08-22 10:59:29,Carl Karsten <carl@…>,"create user, typo password, get ""confirm pw change"" dialog",closed,adrian,Uncategorized,contrib.admin
4549,2007-06-12 13:29:10,2007-06-19 23:16:57,Stefane Fermgier <sf@…>,"Set mime type on admin media content (images, css) under WSGI",closed,adrian,,contrib.admin
4550,2007-06-12 17:08:22,2007-06-12 17:56:41,jack.sun@…,Database protection: Table locking,closed,jacob,,Uncategorized
4551,2007-06-12 17:25:18,2007-07-12 07:31:10,adamduren@…,Documentation is wrong about PhoneNumberField subclass,closed,jacob,,Documentation
4552,2007-06-12 20:26:58,2010-11-21 00:03:58,SmileyChris,"Tidy up ""for"" tag",closed,nobody,,Template system
4553,2007-06-12 20:46:03,2008-01-23 10:44:25,shaunc <shaun@…>,newsforms.models.save_instance doesn't save references to related correctly,closed,adrian,,Forms
4554,2007-06-13 05:14:27,2007-06-13 05:58:18,djangoproject.com@…,Newsforms: {{ field.error }} in HTML Template is HTML (ul) but should be Text (plain),closed,adrian,,Forms
4555,2007-06-13 06:43:01,2012-08-29 10:18:35,Johan Bergström <bugs@…>,New html-util/filter: unescape,closed,nobody,Uncategorized,Template system
4556,2007-06-13 09:12:38,2011-10-09 05:44:57,glin@…,Improvement of javascript function showAddAnotherPopup,closed,adrian,,contrib.admin
4557,2007-06-13 11:07:20,2007-10-16 16:58:51,anonymous,Case-sensitivity issue with app name when creating database tables on windows,closed,nobody,,"Database layer (models, ORM)"
4558,2007-06-13 17:17:03,2007-08-07 06:43:50,Bill Fenner <fenner@…>,XML deserializer can't read in pretty-printed <None/>,closed,russellm,,Core (Serialization)
4559,2007-06-13 22:29:51,2007-06-16 05:49:26,rskrishnan@…,"Newforms documentation mentions ""widgets"" - but never describes the list of widgets ...",closed,jacob,,Documentation
4560,2007-06-14 00:36:13,2007-06-21 17:34:45,rif <fericean@…>,When concatenating |linebreaks|truncatewords the paragraph is not closed,closed,adrian,,Template system
4561,2007-06-14 07:39:28,2008-08-06 08:32:46,(removed),dispatch refactoring,closed,nobody,,Core (Other)
4562,2007-06-14 09:27:29,2011-09-28 09:12:17,calvin@…,unique_together uses 'iexact' instead of 'exact',closed,jacob,,contrib.admin
4563,2007-06-14 09:27:47,2007-12-02 15:57:23,(removed),Context should expose removed/added scope objects (dicts),closed,nobody,,Template system
4564,2007-06-14 11:12:23,2007-06-14 13:04:56,georgefescos@…,install under windows. Path and mysqldb problems,closed,jacob,,Documentation
4565,2007-06-14 12:00:15,2007-07-14 02:45:53,(removed),"template rendering should yield items, not concat strings at each level",closed,adrian,,Template system
4566,2007-06-14 14:45:55,2007-06-22 22:40:29,mtredinnick,URL reverse() function has something like O(n^2) behaviour. Could be better.,closed,mtredinnick,,Core (Other)
4567,2007-06-14 20:54:14,2007-07-17 08:22:41,john.m.chilton@…,(Ubuntu Feisty) Server won't start,closed,adrian,,django-admin.py runserver
4568,2007-06-14 23:21:27,2007-06-14 23:23:55,indianjg@…,reg URL,closed,adrian,,django-admin.py runserver
4569,2007-06-14 23:22:07,2007-08-11 03:58:17,SmileyChris,Syndication links,closed,jacob,,Documentation
4570,2007-06-15 02:11:05,2007-06-15 08:34:39,Glin <glin@…>,[newforms-admin] object has no attribute 'inlines',closed,adrian,,contrib.admin
4571,2007-06-15 05:47:42,2007-08-24 07:27:08,Jakub Vysoky [kvbik],small patch for multi model admin.site registering,closed,adrian,,contrib.admin
4572,2007-06-15 06:53:33,2007-08-20 07:15:41,toddobryan@…,How to use form_for_instance could benefit from more explanation,closed,jacob,,Documentation
4573,2007-06-15 08:56:45,2007-12-01 15:46:02,Johan Bergström <bugs@…>,Minor rewrite of linebreaks and linebreaksbr,closed,nobody,,Template system
4574,2007-06-15 10:10:15,2013-03-22 12:25:51,calvin@…,add CSS classes to rendered calendar,new,xian,Cleanup/optimization,contrib.admin
4575,2007-06-15 11:24:15,2007-06-19 23:10:14,ramiroluz@…,Link not found,closed,jacob,,Uncategorized
4576,2007-06-15 11:43:40,2007-06-17 01:11:38,Ludvig Ericson <ludvig.ericson@…>,Updated translations for Swedish django.po,closed,mtredinnick,,Translations
4577,2007-06-15 20:24:58,2007-07-31 22:58:22,anonymous,"证券,股票,基金,债券,期货,投资,证券,股票,股票查询,基金查询, 证券,股票,基金,债券,期货,投资,证券,股票,证券,股票,证券,股票证券,股票,基金,理财,黄金,港股,期货,,股票,基金,理财,黄金,港股,期货,证券,股票,基金,债券,期货,投资.",closed,jacob,,Uncategorized
4578,2007-06-15 20:25:09,2007-06-15 21:24:58,anonymous,"证券,股票,基金,债券,期货,投资,证券,股票,股票查询,基金查询, 证券,股票,基金,债券,期货,投资,证券,股票,证券,股票,证券,股票证券,股票,基金,理财,黄金,港股,期货,,股票,基金,理财,黄金,港股,期货,证券,股票,基金,债券,期货,投资.",closed,jacob,,Uncategorized
4579,2007-06-15 20:25:19,2007-06-15 21:25:13,anonymous,"证券,股票,基金,债券,期货,投资,证券,股票,股票查询,基金查询, 证券,股票,基金,债券,期货,投资,证券,股票,证券,股票,证券,股票证券,股票,基金,理财,黄金,港股,期货,,股票,基金,理财,黄金,港股,期货,证券,股票,基金,债券,期货,投资.",closed,jacob,,Uncategorized
4580,2007-06-15 20:25:37,2007-06-15 21:25:33,anonymous,"证券,股票,基金,债券,期货,投资,证券,股票,股票查询,基金查询, 证券,股票,基金,债券,期货,投资,证券,股票,证券,股票,证券,股票证券,股票,基金,理财,黄金,港股,期货,,股票,基金,理财,黄金,港股,期货,证券,股票,基金,债券,期货,投资.",closed,jacob,,Uncategorized
4581,2007-06-15 22:05:16,2007-06-16 15:32:30,anonymous,Typo - oldforms should be newforms,closed,jacob,,Documentation
4582,2007-06-15 23:07:23,2007-06-16 15:33:10,manish.newsletters@…,setup.py on windows,closed,jacob,,Documentation
4583,2007-06-16 01:12:17,2007-06-16 18:23:49,anonymous,[unicode] Problems with databrowse,closed,mtredinnick,,Internationalization
4584,2007-06-16 01:13:48,2007-06-19 23:08:47,anonymous,Bad nesting of tags in databrowse template.,closed,adrian,,Contrib apps
4585,2007-06-16 04:53:10,2007-06-19 10:35:46,BleSS,XMLField in PostgreSQL,closed,adrian,,"Database layer (models, ORM)"
4586,2007-06-16 06:30:14,2007-06-19 23:07:06,anonymous,Typo in docs/tutorial01.txt,closed,jacob,,Documentation
4587,2007-06-16 11:46:55,2007-09-15 13:11:06,yi.codeplayer at gmail dot com,[newforms-admin] attribute `model._meta.admin` is not assigned but it is needed in many places.,closed,nobody,,contrib.admin
4588,2007-06-16 11:51:21,2008-08-01 08:53:13,yi.codeplayer at gmail dot com,newforms-admin: Handle keyword argument `options` of `AdminSite.register`,closed,nobody,,contrib.admin
4589,2007-06-16 12:05:37,2007-09-14 11:40:44,yi.codeplayer at gmail dot com,[newforms-admin] Add an option to `ModelAdmin`: section_name,closed,nobody,,contrib.admin
4590,2007-06-16 17:06:52,2007-08-14 20:04:11,Jonas,International standard for date and time,closed,adrian,,Core (Other)
4591,2007-06-16 18:26:06,2007-06-16 19:08:26,icsmith12@…,cannot import name User (error retrieving User from django.contrib.auth),closed,adrian,,Contrib apps
4592,2007-06-16 19:14:01,2013-04-13 07:39:46,Scott Sinclair,Make CheckboxSelectMultiple more like RadioSelect,closed,bmispelon,Cleanup/optimization,Forms
4593,2007-06-16 19:19:07,2007-06-16 19:49:40,bjorn.swift@…,Unicode error in newforms\forms.py,closed,mtredinnick,,Internationalization
4594,2007-06-16 20:25:59,2007-06-24 20:59:11,Todd O'Bryan <toddobryan@…>,django.core.urlresolvers.reverse_helper doesn't unescape characters that are escaped in URL regexes,closed,jacob,,Uncategorized
4595,2007-06-16 23:33:43,2007-06-16 23:41:58,tammy@…,thank you for coming,closed,adrian,,Tools
4596,2007-06-16 23:33:46,2007-06-16 23:41:43,tammy@…,thank you for coming,closed,anonymous,,Tools
4597,2007-06-17 06:00:34,2007-06-17 06:20:35,anonymous,"证券,股票,基金,债券,期货,投资“涨停俱乐部”群推荐股票优秀战绩：华闻传媒(000793) 2006-12-15日推荐股票连续25个交易日获利：87.09% 有研硅股(600206) 2006-12-25日推荐股票连续17个交易日获利：67.89% 辽宁成大(600739) 2006-12-25日推荐股票连续21个交易日获利：71.77% S南航(600029) 2006-12-29日推荐股票连续12个交易日获利：55.23% 福建水泥(600802) 2006-12-29日推荐股票连续23个交易日获利：109.86% 长安汽车(000625) 2007-01-05日推荐股票连续30个交易日获利：85% 科达机电(600499) 2007-01-05日推荐股票连续31个交易日获利：109% 羚锐股份(600285) 2007-01-08日推荐股票连续30个交易日获利：61% 经纬纺机(000666) 2007-01-15日推荐股票连续25个交易日获利：92% 电广传媒(000917) 2007-01-18日推荐股票连续22个交易日获利：83% 宏源证券(000562) 2007-02-08日推荐股票连续6个交易日获利：32% 天 津 港(600717) 2007-02-08日推荐股票连续5个交易日获利：25% 金山股份(600396) 2007-02-06日推荐股票连续8个交易日获利：41% 中金黄金(600489) 2007-02-09日推荐股票连续5个交易日获利：37% 合肥三洋(600983) 2007-02-12日推荐股票连续5个交易日获利：25% 金果实业(000722) 2007-04-20日推荐股票连续21个交易日获利：62.4% 杉杉股份(600884) 2007-04-20日推荐股票连续21个交易日获利：63.54% 东风科技(600081) 2007-04-20日推荐股票连续21个交易日获利：49.24% 皖维高新(600063) 2007-04-20日推荐股票连续21个交易日获利：42.55% 重庆路桥(600063) 2007-04-20日推荐股票连续21个交易日获利：52.46% 深振业 A(000006) 2007-04-25日推荐股票连续16个交易日获利：48.12% 杭萧钢构(600477) 2007-05-08日推荐股票连续12个交易日获利：151.9% 群号码： *以下股票群发布信息相同，只需加一个即可。 *以下群为普通群，每个交易日9：25在""群空间""发布重点推荐，在""群空间论坛""内查看，群空间打不开请及时下载安装2007最新版QQ软件。 机构热点 39670159 短线王牌 33927518 短线投资 39670959 短线是金 21842240 财源滚滚 39662286 私募基金 39662507 黑马论坛 39662617 机构内参 39015595 财富天空 37764405 黄金满城 19119070 长阳时代 37769030 K 线狂飙 15810715 波段之王 36215920 短线高手 36215051 红旗在线 33539105 妙手回春 36216760 总群主QQ号码：357536139 长江 欢迎加群！！！证券,股票,基金,债券,期货,投资,证券,股票,股票查询,基金查询, 证券,股票,基金,债券,期货,投资,证券,股票,证券,股票,证券,股票证券,股票,基金,理财,黄金,港股,期货, 股票,基金,理财,黄金,港股,期货,证券,股票,基金,债券,期货,投资.★★★★★ 想月赚40%就请加本群！！实力铸就成功！！！总群主QQ号码：357536139 长江 欢迎加群！！！总群主博客：http://blog.sina.com.cn/changjiangzixun",closed,jacob,,Uncategorized
